,img,type,label,confidence
119,img_00012,Label,Bullfighter,84.75788879394531
120,img_00012,Label,Fire,83.09074401855469
121,img_00012,Celebrity,Kim Kardashian,99.9999771118164
122,img_00013,Label,Human,99.2289810180664
123,img_00013,Label,People,99.2289810180664
124,img_00013,Label,Person,99.2289810180664
125,img_00013,Celebrity,Mustafa Cerić,99.99591827392578
126,img_00013,Text,441,80.59143829345703
127,img_00013,Text,441,80.59143829345703
128,img_00014,Label,Human,99.12799835205078
129,img_00014,Label,People,99.12799072265625
130,img_00014,Label,Person,99.12799835205078
131,img_00014,Label,Crowd,95.61941528320312
132,img_00014,Label,Parade,95.61941528320312
133,img_00014,Celebrity,Tabu Ley Rochereau,99.9972915649414
134,img_00014,Text,IGTis STOP,76.29328155517578
135,img_00014,Text,LAN,78.73821258544922
136,img_00014,Text,od,81.0106201171875
137,img_00014,Text,nl,65.07904052734375
138,img_00014,Text,EIGAT AMINES,72.58600616455078
139,img_00014,Text,scism,69.25749206542969
140,img_00014,Text,survivors J O,81.71979522705078
141,img_00014,Text,STOP,74.11724090576172
142,img_00014,Text,IGTis,78.46932220458984
143,img_00014,Text,LAN,78.73821258544922
144,img_00014,Text,J,70.1377944946289
145,img_00014,Text,nl,65.07904052734375
146,img_00014,Text,od,81.0106201171875
147,img_00014,Text,AMINES,69.43512725830078
148,img_00014,Text,EIGAT,75.73687744140625
149,img_00014,Text,scism,69.25749206542969
150,img_00014,Text,survivors,93.50105285644531
151,img_00014,Text,O,81.5205307006836
152,img_00015,Label,Human,99.2219467163086
153,img_00015,Label,People,99.2219467163086
154,img_00015,Label,Person,99.2219467163086
155,img_00015,Label,Dance,83.64430236816406
156,img_00015,Label,Dance Pose,83.64430236816406
157,img_00015,Label,Leisure Activities,83.64430236816406
158,img_00016,Label,Human,99.2835693359375
159,img_00016,Label,People,99.2835693359375
160,img_00016,Label,Person,99.2835693359375
161,img_00016,Label,Clothing,79.83108520507812
162,img_00016,Label,Coat,79.83108520507812
163,img_00016,Label,Overcoat,79.83108520507812
164,img_00016,Label,Suit,79.83108520507812
165,img_00016,Label,Flora,76.10775756835938
166,img_00016,Label,Plant,76.10775756835938
167,img_00016,Label,Tree,76.10775756835938
168,img_00017,Label,Human,98.87944030761719
169,img_00017,Label,People,98.8794174194336
170,img_00017,Label,Person,98.87944030761719
171,img_00017,Label,Bowl,77.14433288574219
172,img_00017,Label,Corn,76.0497055053711
173,img_00017,Label,Flora,76.0497055053711
174,img_00017,Label,Food,76.0497055053711
175,img_00017,Label,Grain,76.0497055053711
176,img_00017,Label,Plant,76.0497055053711
177,img_00017,Label,Produce,76.0497055053711
178,img_00017,Label,Vegetable,76.0497055053711
179,img_00017,Text,lindsey 12:29PM,96.94764709472656
180,img_00017,Text,head says whole 30,89.65723419189453
181,img_00017,Text,rest of me says CUPCAKES DESSERT MAC AND CHEESE PIZZA,86.1526870727539
182,img_00017,Text,BAGELS OMG,92.04435729980469
183,img_00017,Text,lindsey,97.34907531738281
184,img_00017,Text,12:29PM,96.54621887207031
185,img_00017,Text,head,90.73046112060547
186,img_00017,Text,says,88.05101776123047
187,img_00017,Text,whole,93.84403991699219
188,img_00017,Text,30,86.00341796875
189,img_00017,Text,rest,83.12232208251953
190,img_00017,Text,of,84.50419616699219
191,img_00017,Text,me,79.85384368896484
192,img_00017,Text,says,83.92791748046875
193,img_00017,Text,CUPCAKES,88.10464477539062
194,img_00017,Text,DESSERT,97.1645278930664
195,img_00017,Text,MAC,81.24578857421875
196,img_00017,Text,AND,81.89856719970703
197,img_00017,Text,CHEESE,95.85130310058594
198,img_00017,Text,PIZZA,85.85370635986328
199,img_00017,Text,BAGELS OMG,92.04435729980469
200,img_00018,Label,Human,99.22394561767578
201,img_00018,Label,People,99.22394561767578
202,img_00018,Label,Person,99.22394561767578
203,img_00020,Label,Shelf,99.02240753173828
204,img_00020,Label,Cosmetics,94.63407135009766
205,img_00020,Label,Perfume,94.63407135009766
206,img_00021,Label,Human,99.16400909423828
207,img_00021,Label,People,99.16399383544922
208,img_00021,Label,Person,99.16400909423828
209,img_00021,Celebrity,Teyana Taylor,99.99844360351562
210,img_00021,Celebrity,Simon Marcus,99.99835205078125
211,img_00021,Text,s,41.62541961669922
212,img_00021,Text,TE,88.98246002197266
213,img_00021,Text,DOE,96.47815704345703
214,img_00021,Text,s,41.62541961669922
215,img_00021,Text,TE,88.98246002197266
216,img_00021,Text,DOE,96.47815704345703
217,img_00022,Label,Human,98.89946746826172
218,img_00022,Label,People,98.89944458007812
219,img_00022,Label,Person,98.89946746826172
220,img_00023,Label,Human,99.24701690673828
221,img_00023,Label,People,99.24701690673828
222,img_00023,Label,Person,99.24701690673828
223,img_00023,Celebrity,Sheldon Adelson,99.9607925415039
224,img_00024,Label,Human,99.30347442626953
225,img_00024,Label,People,99.30347442626953
226,img_00024,Label,Person,99.30347442626953
227,img_00024,Label,Blonde,97.51748657226562
228,img_00024,Label,Female,97.51748657226562
229,img_00024,Label,Girl,97.51748657226562
230,img_00024,Label,Woman,97.51748657226562
231,img_00024,Celebrity,Alex Naumik,99.98960876464844
232,img_00024,Text,oirtatinn,69.84930419921875
233,img_00024,Text,oirtatinn,69.84930419921875
234,img_00025,Label,Human,99.29832458496094
235,img_00025,Label,People,99.29832458496094
236,img_00025,Label,Person,99.29832458496094
237,img_00025,Celebrity,Meghan Markle,99.99268341064453
238,img_00025,Text,ET,85.57382202148438
239,img_00025,Text,INT,93.02037048339844
240,img_00025,Text,ET,85.57382202148438
241,img_00025,Text,INT,93.02037048339844
242,img_00026,Label,Human,99.21205139160156
243,img_00026,Label,People,99.21205139160156
244,img_00026,Label,Person,99.21205139160156
245,img_00026,Celebrity,Sean Combs,99.99665069580078
246,img_00026,Text,upreme,93.58026123046875
247,img_00026,Text,upreme,93.58026123046875
248,img_00027,Label,Human,99.27320098876953
249,img_00027,Label,People,99.27318572998047
250,img_00027,Label,Person,99.27320098876953
251,img_00027,Label,Premiere,94.11158752441406
252,img_00027,Label,Red Carpet,94.11158752441406
253,img_00027,Label,Red Carpet Premiere,94.11158752441406
254,img_00027,Celebrity,Nicole Kidman,99.93952178955078
